| ID   | Check_ID  | Failure_Instances | Devices_Failed | Devices_Passed  |
| 1377 | 1.1.1     | 0                 | 0              | 1               |
| 1378 | 1.1.3     | 1                 | 1              | 0               |
| 1379 | 1.1.7     | 1                 | 1              | 0               |
| 1381 | 1.3.1     | 1                 | 1              | 0               |
| 1382 | 1.3.4     | 1                 | 1              | 0               |
| 1383 | 2.2.1     | 0                 | 0              | 1               |
| 1384 | 2.2.5     | 0                 | 0              | 1               |
| 1385 | 3.1.3     | 4                 | 1              | 0               |
| 1386 | 2.1.2     | 0                 | 0              | 1               |
| 1387 | 2.1.7     | 1                 | 1              | 0               |
| 1388 | 3.1.1     | 0                 | 0              | 1               |
| 1389 | 1.3.3     | 1                 | 1              | 0               |
| 1390 | 2.2.2     | 1                 | 1              | 0               |
| 1391 | 1.4.1     | 1                 | 1              | 0               |
| 1392 | 1.3.2     | 1                 | 1              | 0               |
| 1393 | 1.4.3     | 2                 | 1              | 0               |
| 1394 | 2.1.4     | 1                 | 1              | 0               |
| 1395 | 2.1.6     | 1                 | 1              | 0               |
| 1396 | 2.1.8     | 0                 | 0              | 1               |
| 1397 | 2.2.3     | 0                 | 0              | 1               |
| 1398 | 3.1.2     | 11                | 1              | 0               |
| 1399 | 1.1.9     | 1                 | 1              | 0               |
| 1400 | 1.1.10    | 1                 | 1              | 0               |
| 1401 | 2.1.1.1.2 | 1                 | 1              | 0               |
| 1402 | 2.1.1.1.3 | 1                 | 0              | 0               |
| 1403 | 2.1.1.1.4 | 2                 | 1              | 0               |
| 1404 | 2.1.1.1.1 | 0                 | 0              | 1               |
| 1405 | 2.1.5     | 0                 | 0              | 1               |
| 1406 | 1.1.6     | 1                 | 1              | 0               |
| 1407 | 1.1.8     | 1                 | 1              | 0               |
| 1408 | 2.1.1.1.5 | 0                 | 0              | 1               |
| 1409 | 2.3.1.1   | 1                 | 1              | 0               |
| 1410 | 2.3.1.2   | 1                 | 1              | 0               |
| 1411 | 1.1.5     | 0                 | 0              | 1               |
| 1412 | 2.3.1.3   | 1                 | 1              | 0               |
| 1413 | 2.3.1.4   | 1                 | 1              | 0               |
| 1414 | 2.3.2     | 1                 | 1              | 0               |
| 1415 | 1.2.9     | 0                 | 0              | 1               |
| 1416 | 1.2.10    | 1                 | 1              | 0               |
| 1417 | 1.2.8     | 0                 | 0              | 1               |
| 1418 | 1.2.2     | 0                 | 0              | 1               |
| 1419 | 1.2.4     | 1                 | 0              | 0               |
| 1420 | 1.5.1     | 0                 | 0              | 1               |
| 1421 | 1.2.6     | 0                 | 0              | 1               |
| 1422 | 1.2.7     | 0                 | 0              | 1               |
| 1424 | 1.2.11    | 1                 | 1              | 0               |
| 1425 | 1.2.3     | 0                 | 0              | 1               |
| 1426 | 1.5.8     | 1                 | 1              | 0               |
| 1427 | 2.2.6     | 0                 | 0              | 1               |
| 1428 | 2.2.8     | 1                 | 1              | 0               |
| 1429 | 1.5.3     | 0                 | 0              | 1               |
| 1430 | 1.2.5     | 2                 | 1              | 0               |
| 1431 | 1.5.4     | 0                 | 0              | 1               |
| 1432 | 1.5.6     | 1                 | 0              | 0               |
| 1433 | 1.4.2     | 0                 | 0              | 1               |
| 1434 | 1.5.7     | 1                 | 1              | 0               |
| 1435 | 1.5.9     | 0                 | 0              | 1               |
| 1436 | 1.5.10    | 0                 | 0              | 1               |
| 1437 | 2.2.7     | 1                 | 1              | 0               |
| 1438 | 2.2.4     | 1                 | 1              | 0               |
| 1439 | 3.3.1.2   | 1                 | 1              | 0               |
| 1440 | 3.3.1.4   | 0                 | 0              | 1               |
| 1441 | 3.3.3.1   | 0                 | 0              | 1               |
| 1442 | 3.3.4.1   | 0                 | 0              | 1               |
| 1443 | 3.3.3.5   | 0                 | 0              | 1               |
| 1444 | 3.3.1.8   | 0                 | 0              | 1               |
| 1445 | 3.3.1.9   | 0                 | 0              | 1               |
| 1446 | 3.3.1.5   | 0                 | 0              | 1               |
| 1447 | 3.3.2.2   | 1                 | 0              | 0               |
| 1448 | 1.6.2     | 1                 | 1              | 0               |
| 1449 | 2.4.2     | 0                 | 0              | 1               |
| 1450 | 2.4.4     | 1                 | 1              | 0               |
| 1451 | 1.5.2     | 0                 | 0              | 1               |
| 1452 | 3.3.1.1   | 1                 | 1              | 0               |
| 1453 | 3.3.1.3   | 1                 | 1              | 0               |
| 1454 | 3.3.3.3   | 0                 | 0              | 1               |
| 1455 | 3.3.3.4   | 0                 | 0              | 1               |
| 1456 | 3.3.1.6   | 0                 | 0              | 1               |
| 1457 | 3.3.1.7   | 0                 | 0              | 1               |
| 1458 | 2.1.1.2   | 0                 | 0              | 1               |
| 1459 | 3.3.2.1   | 0                 | 0              | 1               |
| 1460 | 1.6.1     | 1                 | 1              | 0               |
| 1461 | 3.3.3.2   | 0                 | 0              | 1               |
| 1462 | 3.2.1     | 1                 | 1              | 0               |
| 1463 | 3.2.2     | 1                 | 0              | 0               |
| 1464 | 1.1.4     | 2                 | 1              | 0               |
| 1465 | 2.1.3     | 0                 | 0              | 1               |
| 1471 | 3.1.4     | 1                 | 0              | 0               |
| 1472 | 1.2.1     | 1                 | 1              | 0               |
| 1473 | 1.6.3     | 1                 | 1              | 0               |
| 1474 | 2.4.3     | 1                 | 1              | 0               |
| 1475 | 1.1.2     | 1                 | 1              | 0               |
| 1476 | 2.4.1     | 0                 | 0              | 1               |
| 1477 | 1.5.5     | 1                 | 1              | 0               |
| 1481 | 1.6.4     | 1                 | 1              | 0               |
