      | ID         | Check_ID                 | Failure_Instances   | Devices_Failed | Devices_Passed  |
      | 539        | CISC-ND-000010           | 1                   | 1              | 2               |
      | 543        | CISC-ND-000090           | 3                   | 3              | 0               |
      | 544        | CISC-ND-000100           | 3                   | 3              | 0               |
      | 545        | CISC-ND-000110           | 3                   | 3              | 0               |
      | 546        | CISC-ND-000120           | 3                   | 3              | 0               |
      | 547        | CISC-ND-000140           | 4                   | 3              | 0               |
      | 548        | CISC-ND-000150           | 3                   | 3              | 0               |
      | 549        | CISC-ND-000160           | 3                   | 3              | 0               |
      | 553        | CISC-ND-000210           | 4                   | 3              | 0               |
      | 555        | CISC-ND-000280           | 3                   | 3              | 0               |
      | 556        | CISC-ND-000290           | 0                   | 0              | 3               |
      | 557        | CISC-ND-000330           | 3                   | 3              | 0               |
      | 559        | CISC-ND-000380           | 0                   | 0              | 3               |
      | 560        | CISC-ND-000390           | 0                   | 0              | 3               |
      | 562        | CISC-ND-000460           | 0                   | 0              | 3               |
      | 563        | CISC-ND-000470           | 3                   | 3              | 0               |
      | 565        | CISC-ND-000490           | 3                   | 3              | 0               |
      | 570        | CISC-ND-000550           | 3                   | 3              | 0               |
      | 572        | CISC-ND-000570           | 3                   | 3              | 0               |
      | 573        | CISC-ND-000580           | 3                   | 3              | 0               |
      | 574        | CISC-ND-000590           | 3                   | 3              | 0               |
      | 575        | CISC-ND-000600           | 3                   | 3              | 0               |
      | 576        | CISC-ND-000610           | 3                   | 3              | 0               |
      | 577        | CISC-ND-000620           | 2                   | 2              | 1               |
      | 580        | CISC-ND-000720           | 0                   | 0              | 3               |
      | 586        | CISC-ND-000880           | 3                   | 3              | 0               |
      | 592        | CISC-ND-000980           | 2                   | 2              | 1               |
      | 594        | CISC-ND-001000           | 3                   | 3              | 0               |
      | 595        | CISC-ND-001030           | 3                   | 3              | 0               |
      | 602        | CISC-ND-001150           | 3                   | 3              | 0               |
      | 605        | CISC-ND-001200           | 0                   | 0              | 3               |
      | 606        | CISC-ND-001210           | 0                   | 0              | 3               |
      | 608        | CISC-ND-001250           | 3                   | 3              | 0               |
      | 609        | CISC-ND-001260           | 3                   | 3              | 0               |
      | 610        | CISC-ND-001270           | 3                   | 3              | 0               |
      | 616        | CISC-ND-001370           | 10                  | 3              | 0               |
      | 621        | CISC-ND-001450           | 3                   | 3              | 0               |
